eohhs,eohhs_name,Town
5,Southeast,Abington
4,Metro West,Acton
5,Southeast,Acushnet
1,Western,Adams
1,Western,Agawam
1,Western,Alford
3,Northeast,Amesbury
1,Western,Amherst
3,Northeast,Andover
4,Metro West,Arlington
2,Central,Ashburnham
2,Central,Ashby
1,Western,Ashfield
4,Metro West,Ashland
1,Western,Athol
5,Southeast,Attleboro
2,Central,Auburn
5,Southeast,Avon
2,Central,Ayer
5,Southeast,Barnstable
2,Central,Barre
1,Western,Becket
4,Metro West,Bedford
1,Western,Belchertown
2,Central,Bellingham
4,Metro West,Belmont
5,Southeast,Berkley
2,Central,Berlin
1,Western,Bernardston
3,Northeast,Beverly
3,Northeast,Billerica
2,Central,Blackstone
1,Western,Blandford
2,Central,Bolton
6,Boston,Boston
5,Southeast,Bourne
4,Metro West,Boxborough
3,Northeast,Boxford
2,Central,Boylston
4,Metro West,Braintree
5,Southeast,Brewster
5,Southeast,Bridgewater
2,Central,Brimfield
5,Southeast,Brockton
2,Central,Brookfield
6,Boston,Brookline
1,Western,Buckland
4,Metro West,Burlington
4,Metro West,Cambridge
4,Metro West,Canton
4,Metro West,Carlisle
5,Southeast,Carver
1,Western,Charlemont
2,Central,Charlton
5,Southeast,Chatham
3,Northeast,Chelmsford
6,Boston,Chelsea
1,Western,Cheshire
1,Western,Chester
1,Western,Chesterfield
1,Western,Chicopee
5,Southeast,Chilmark
1,Western,Clarksburg
2,Central,Clinton
4,Metro West,Cohasset
1,Western,Colrain
4,Metro West,Concord
1,Western,Conway
1,Western,Cummington
1,Western,Dalton
3,Northeast,Danvers
5,Southeast,Dartmouth
4,Metro West,Dedham
1,Western,Deerfield
5,Southeast,Dennis
5,Southeast,Dighton
2,Central,Douglas
4,Metro West,Dover
3,Northeast,Dracut
2,Central,Dudley
3,Northeast,Dunstable
5,Southeast,Duxbury
5,Southeast,East Bridgewater
2,Central,East Brookfield
1,Western,East Longmeadow
5,Southeast,Eastham
1,Western,Easthampton
5,Southeast,Easton
5,Southeast,Edgartown
1,Western,Egremont
1,Western,Erving
3,Northeast,Essex
3,Northeast,Everett
5,Southeast,Fairhaven
5,Southeast,Fall River
5,Southeast,Falmouth
2,Central,Fitchburg
1,Western,Florida
4,Metro West,Foxborough
4,Metro West,Framingham
2,Central,Franklin
5,Southeast,Freetown
2,Central,Gardner
5,Southeast,Aquinnah
3,Northeast,Georgetown
1,Western,Gill
3,Northeast,Gloucester
1,Western,Goshen
5,Southeast,Gosnold
2,Central,Grafton
1,Western,Granby
1,Western,Granville
1,Western,Great Barrington
1,Western,Greenfield
2,Central,Groton
3,Northeast,Groveland
1,Western,Hadley
5,Southeast,Halifax
3,Northeast,Hamilton
1,Western,Hampden
1,Western,Hancock
5,Southeast,Hanover
5,Southeast,Hanson
2,Central,Hardwick
2,Central,Harvard
5,Southeast,Harwich
1,Western,Hatfield
3,Northeast,Haverhill
1,Western,Hawley
1,Western,Heath
4,Metro West,Hingham
1,Western,Hinsdale
5,Southeast,Holbrook
2,Central,Holden
2,Central,Holland
4,Metro West,Holliston
1,Western,Holyoke
2,Central,Hopedale
4,Metro West,Hopkinton
2,Central,Hubbardston
4,Metro West,Hudson
4,Metro West,Hull
1,Western,Huntington
3,Northeast,Ipswich
5,Southeast,Kingston
5,Southeast,Lakeville
2,Central,Lancaster
1,Western,Lanesborough
3,Northeast,Lawrence
1,Western,Lee
2,Central,Leicester
1,Western,Lenox
2,Central,Leominster
1,Western,Leverett
4,Metro West,Lexington
1,Western,Leyden
4,Metro West,Lincoln
4,Metro West,Littleton
1,Western,Longmeadow
3,Northeast,Lowell
1,Western,Ludlow
2,Central,Lunenburg
3,Northeast,Lynn
3,Northeast,Lynnfield
3,Northeast,Malden
3,Northeast,Manchester
5,Southeast,Mansfield
3,Northeast,Marblehead
5,Southeast,Marion
4,Metro West,Marlborough
5,Southeast,Marshfield
5,Southeast,Mashpee
5,Southeast,Mattapoisett
4,Metro West,Maynard
4,Metro West,Medfield
3,Northeast,Medford
2,Central,Medway
3,Northeast,Melrose
2,Central,Mendon
3,Northeast,Merrimac
3,Northeast,Methuen
5,Southeast,Middleborough
1,Western,Middlefield
3,Northeast,Middleton
2,Central,Milford
2,Central,Millbury
4,Metro West,Millis
2,Central,Millville
4,Metro West,Milton
1,Western,Monroe
1,Western,Monson
1,Western,Montague
1,Western,Monterey
1,Western,Montgomery
1,Western,Mount Washington
3,Northeast,Nahant
5,Southeast,Nantucket
4,Metro West,Natick
4,Metro West,Needham
1,Western,New Ashford
5,Southeast,New Bedford
2,Central,New Braintree
1,Western,New Marlborough
1,Western,New Salem
3,Northeast,Newbury
3,Northeast,Newburyport
4,Metro West,Newton
4,Metro West,Norfolk
1,Western,North Adams
3,Northeast,North Andover
5,Southeast,North Attleborough
2,Central,North Brookfield
3,Northeast,North Reading
1,Western,Northampton
4,Metro West,Northborough
2,Central,Northbridge
1,Western,Northfield
5,Southeast,Norton
4,Metro West,Norwell
4,Metro West,Norwood
5,Southeast,Oak Bluffs
2,Central,Oakham
1,Western,Orange
5,Southeast,Orleans
1,Western,Otis
2,Central,Oxford
1,Western,Palmer
2,Central,Paxton
3,Northeast,Peabody
1,Western,Pelham
5,Southeast,Pembroke
2,Central,Pepperell
1,Western,Peru
1,Western,Petersham
1,Western,Phillipston
1,Western,Pittsfield
1,Western,Plainfield
4,Metro West,Plainville
5,Southeast,Plymouth
5,Southeast,Plympton
2,Central,Princeton
5,Southeast,Provincetown
4,Metro West,Quincy
4,Metro West,Randolph
5,Southeast,Raynham
3,Northeast,Reading
5,Southeast,Rehoboth
6,Boston,Revere
1,Western,Richmond
5,Southeast,Rochester
5,Southeast,Rockland
3,Northeast,Rockport
1,Western,Rowe
3,Northeast,Rowley
1,Western,Royalston
1,Western,Russell
2,Central,Rutland
3,Northeast,Salem
3,Northeast,Salisbury
1,Western,Sandisfield
5,Southeast,Sandwich
3,Northeast,Saugus
1,Western,Savoy
4,Metro West,Scituate
5,Southeast,Seekonk
4,Metro West,Sharon
1,Western,Sheffield
1,Western,Shelburne
4,Metro West,Sherborn
2,Central,Shirley
2,Central,Shrewsbury
1,Western,Shutesbury
5,Southeast,Somerset
4,Metro West,Somerville
1,Western,South Hadley
1,Western,Southampton
4,Metro West,Southborough
2,Central,Southbridge
1,Western,Southwick
2,Central,Spencer
1,Western,Springfield
2,Central,Sterling
1,Western,Stockbridge
3,Northeast,Stoneham
5,Southeast,Stoughton
4,Metro West,Stow
2,Central,Sturbridge
4,Metro West,Sudbury
1,Western,Sunderland
2,Central,Sutton
3,Northeast,Swampscott
5,Southeast,Swansea
5,Southeast,Taunton
2,Central,Templeton
3,Northeast,Tewksbury
5,Southeast,Tisbury
1,Western,Tolland
3,Northeast,Topsfield
2,Central,Townsend
5,Southeast,Truro
3,Northeast,Tyngsborough
1,Western,Tyringham
2,Central,Upton
2,Central,Uxbridge
3,Northeast,Wakefield
2,Central,Wales
4,Metro West,Walpole
4,Metro West,Waltham
1,Western,Ware
5,Southeast,Wareham
2,Central,Warren
1,Western,Warwick
1,Western,Washington
4,Metro West,Watertown
4,Metro West,Wayland
2,Central,Webster
4,Metro West,Wellesley
5,Southeast,Wellfleet
1,Western,Wendell
3,Northeast,Wenham
2,Central,West Boylston
5,Southeast,West Bridgewater
2,Central,West Brookfield
3,Northeast,West Newbury
1,Western,West Springfield
1,Western,West Stockbridge
5,Southeast,West Tisbury
4,Metro West,Westborough
1,Western,Westfield
3,Northeast,Westford
1,Western,Westhampton
2,Central,Westminster
4,Metro West,Weston
5,Southeast,Westport
4,Metro West,Westwood
4,Metro West,Weymouth
1,Western,Whately
5,Southeast,Whitman
1,Western,Wilbraham
1,Western,Williamsburg
1,Western,Williamstown
4,Metro West,Wilmington
2,Central,Winchendon
4,Metro West,Winchester
1,Western,Windsor
6,Boston,Winthrop
4,Metro West,Woburn
2,Central,Worcester
1,Western,Worthington
4,Metro West,Wrentham
5,Southeast,Yarmouth
